EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5681418,HUMPHREYS CO.,SILVER CITY,01/08/1999,1715,Tornado, ,F0,0,0,0,0,MS,CST, ,1502279,C,53,JAN,0,0,TRAINED SPOTTER, ,1,50, , , , ,SILVER CITY,33.10,-90.50,33.10,-90.50,"This tornado briefly touched down in an open area and no damage occurred.","",1
5685581,MARSHALL CO.,SLAYDEN,01/17/1999,1845,Tornado, ,F0,0,2,50000,0,MS,CST, ,1501928,C,93,MEG,0,0,AMATEUR RADIO, ,.5,50, , , , ,SLAYDEN,34.95,-89.45,34.95,-89.45,"A tornado touched down near Slayden. Two mobile homes were destroyed. A new house under construction was levelled. A parked 18-wheeler was overturned.  A few trees were blown down with one tree falling on a house.","",2
5681552,BOLIVAR CO.,MALVINA,01/21/1999,1510,Tornado, ,F1,0,0,30000,0,MS,CST, ,1502281,C,11,JAN,0,0,EMERGENCY MANAGER, ,2,100,2,E,2,E,MALVINA,33.85,-90.90,33.85,-90.90,"Two mobile homes were destroyed and several other houses had minor damage.","",3
5681553,BOLIVAR CO.,CLEVELAND,01/21/1999,1516,Tornado, ,F1,0,0,25000,0,MS,CST, ,1502281,C,11,JAN,0,0,EMERGENCY MANAGER, ,2,75, , , , ,CLEVELAND,33.75,-90.73,33.75,-90.73,"One mobile home was over-turned and a roof was torn off of a shop. A tractor was also flipped over.","",4
5681649,BOLIVAR CO.,SHAW,01/21/1999,2134,Tornado, ,F0,0,0,0,0,MS,CST, ,1503287,C,11,JAN,0,0,EMERGENCY MANAGER, ,1,50, , ,1,NE,SHAW,33.60,-90.82,33.62,-90.80,"","This weak tornado was tracked by emergency management officials across Bolivar and Sunflower Counties. The tornado moved across open areas and no damage was reported.",5
5681650,SUNFLOWER CO.,FAIRVIEW,01/21/1999,2135,Tornado, ,F0,0,0,0,0,MS,CST, ,1503287,C,133,JAN,0,0,EMERGENCY MANAGER, ,1.5,50,6,NNW,7,N,FAIRVIEW,33.60,-90.78,33.62,-90.75,"","This weak tornado was tracked by emergency management officials across Bolivar and Sunflower Counties. The tornado moved across open areas and no damage was reported.",6
5681651,BOLIVAR CO.,BOYLE,01/21/1999,2137,Tornado, ,F0,0,0,0,0,MS,CST, ,1503287,C,11,JAN,0,0,EMERGENCY MANAGER, ,5,50,6,S,5,SE,BOYLE,33.62,-90.73,33.65,-90.67,"","This weak tornado was tracked by emergency management officials across Bolivar and Sunflower Counties. The tornado moved across open areas and no damage was reported.",7
5681652,SUNFLOWER CO.,LINN,01/21/1999,2142,Tornado, ,F0,0,0,0,0,MS,CST, ,1503287,C,133,JAN,0,0,EMERGENCY MANAGER, ,8,50,2,W, , ,RULEVILLE,33.65,-90.67,33.73,-90.57,"","This weak tornado was tracked by emergency management officials across Bolivar and Sunflower Counties. The tornado moved across open areas and no damage was reported.",8
5681653,WASHINGTON CO.,HOLLANDALE,01/21/1999,2233,Tornado, ,F1,0,0,20000,0,MS,CST, ,1502712,C,151,JAN,0,0,EMERGENCY MANAGER, ,3,50,2,SE,3,ENE,HOLLANDALE,33.15,-90.85,33.18,-90.82,"Minor damage was done to a large wood structured house, a pool house, and a manufactured home. The tornado also downed power lines and two power poles.","",9
5681654,WASHINGTON CO.,GREENVILLE,01/21/1999,2240,Tornado, ,F0,0,0,0,0,MS,CST, ,1502712,C,151,JAN,0,0,EMERGENCY MANAGER, ,1,50,2,SE,2,SE,GREENVILLE,33.38,-91.03,33.38,-91.03,"This tornado touched down briefly in an open field and no damage occurred.","",10
5685850,PANOLA CO.,CURTIS STATION,01/21/1999,2245,Tornado, ,F0,0,0,10000,0,MS,CST, ,1501066,C,107,MEG,0,0,FIRE DEPT/RESCUE SQUAD, ,8,25, , , , ,PLEASANT GROVE,34.33,-90.15,34.43,-90.10,"The tornado started near Curtis Station and moved northeast. One trailer home was moved off its foundation.","",11
5681655,HUMPHREYS CO.,BELZONI,01/21/1999,2245,Tornado, ,F0,0,0,0,0,MS,CST, ,1502712,C,53,JAN,0,0,EMERGENCY MANAGER, ,3,50,3,SW,1,E,BELZONI,33.15,-90.53,33.18,-90.48,"This tornado brought only minor tree damage.","",12
5681648,WARREN CO.,EAGLE BEND,01/21/1999,2251,Tornado, ,F0,0,0,5000,0,MS,CST, ,2406270,C,149,JAN,0,0,EMERGENCY MANAGER, ,6,50,7,SW,1,S,EAGLE BEND,32.45,-91.08,32.50,-91.00,"Several trees were blown down. This tornado moved out of Madison Parish, Louisiana.","",13
5685851,TATE CO.,SENATOBIA,01/21/1999,2259,Tornado, ,F0,0,0,50,0,MS,CST, ,1501066,C,137,MEG,0,0,LAW ENFORCEMENT, ,7,25, , ,4,N,LOOXAHOMA,34.62,-89.95,34.65,-89.83,"The tornado started near Senatobia and travelled northeast. The tornado produced little damage.","",14
